date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:47:25	713/713	---MC-	200	added ('OK')	application/rss+xml	etag:%22aed6649871a8b2ba5ff5711a3231cda3%22	http://marqgray.github.io/contact/feed/	C:/My%20Web%20Sites/Portfolio/contact/feed/index.html	(from http://marqgray.github.io/contact/)
17:47:25	2274/2274	---MCZ	200	added ('OK')	application/json	date:Thu,%2013%20Jan%202022%2023:47:25%20GMT	http://marqgray.github.io/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fmarqgray.github.io%2Fcontact%2F	C:/My%20Web%20Sites/Portfolio/wp-json/oembed/1.0/embed4dfa.json	(from http://marqgray.github.io/contact/)
17:47:25	2356/2356	---MCZ	200	added ('OK')	text/xml	date:Thu,%2013%20Jan%202022%2023:47:25%20GMT	http://marqgray.github.io/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fmarqgray.github.io%2Fcontact%2F&format=xml	C:/My%20Web%20Sites/Portfolio/wp-json/oembed/1.0/embed3948	(from http://marqgray.github.io/contact/)
17:47:26	13139/13139	---M--	200	added ('OK')	image/jpeg	etag:%2261da4ec7-3353%22	http://marqgray.github.io/wp-content/uploads/2017/01/landscape7.jpg	C:/My%20Web%20Sites/Portfolio/wp-content/uploads/2017/01/landscape7.jpg	(from http://marqgray.github.io/contact/)
17:47:26	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Jan%202022%2023:47:26%20GMT	http://marqgray.github.io/?p=2310	C:/My%20Web%20Sites/Portfolio/index01a6.html	(from http://marqgray.github.io/contact/)
17:47:26	662/662	---MCZ	200	added ('OK')	application/json	date:Thu,%2013%20Jan%202022%2023:47:26%20GMT	http://marqgray.github.io/wp-json/wp/v2/portfolio_category/32	C:/My%20Web%20Sites/Portfolio/wp-json/wp/v2/portfolio_category/32.json	(from http://marqgray.github.io/portfolio-category/web/)
17:47:26	3105/3105	---MCZ	200	added ('OK')	text/css	etag:W/%2261da4841-c21%22	http://marqgray.github.io/wp-content/themes/kalium/assets/vendors/fluidbox/css/fluidbox.min.css?ver=3.4.4.001	C:/My%20Web%20Sites/Portfolio/wp-content/themes/kalium/assets/vendors/fluidbox/css/fluidbox.minf66a.css	(from http://marqgray.github.io/portfolio/web-music-player-ts/)
17:47:26	7643/7643	---MC-	200	added ('OK')	application/rss+xml	etag:%22a22f5589fe55d76e9ad03175a389926a%22	http://marqgray.github.io/portfolio-category/web/feed/	C:/My%20Web%20Sites/Portfolio/portfolio-category/web/feed/index.html	(from http://marqgray.github.io/portfolio-category/web/)
17:47:26	39514/39514	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jan%202022%2023:47:26%20GMT	http://marqgray.github.io/portfolio/	C:/My%20Web%20Sites/Portfolio/portfolio/index.html	(from http://marqgray.github.io/portfolio-category/web/)
17:47:26	775/775	---MC-	200	added ('OK')	application/rss+xml	etag:%22a93d23dc6a5c76279c6697b1f504f004%22	http://marqgray.github.io/portfolio/web-music-player-ts/feed/	C:/My%20Web%20Sites/Portfolio/portfolio/web-music-player-ts/feed/index.html	(from http://marqgray.github.io/portfolio/web-music-player-ts/)
17:47:27	1902/1902	---MCZ	200	added ('OK')	application/json	date:Thu,%2013%20Jan%202022%2023:47:27%20GMT	http://marqgray.github.io/wp-json/wp/v2/portfolio/3628	C:/My%20Web%20Sites/Portfolio/wp-json/wp/v2/portfolio/3628.json	(from http://marqgray.github.io/portfolio/web-music-player-ts/)
17:47:27	2484/2484	---MCZ	200	added ('OK')	application/json	date:Thu,%2013%20Jan%202022%2023:47:27%20GMT	http://marqgray.github.io/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fmarqgray.github.io%2Fportfolio%2Fweb-music-player-ts%2F	C:/My%20Web%20Sites/Portfolio/wp-json/oembed/1.0/embedbb91.json	(from http://marqgray.github.io/portfolio/web-music-player-ts/)
17:47:27	2602/2602	---MCZ	200	added ('OK')	text/xml	date:Thu,%2013%20Jan%202022%2023:47:27%20GMT	http://marqgray.github.io/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fmarqgray.github.io%2Fportfolio%2Fweb-music-player-ts%2F&format=xml	C:/My%20Web%20Sites/Portfolio/wp-json/oembed/1.0/embed5eb4	(from http://marqgray.github.io/portfolio/web-music-player-ts/)
17:47:27	4714/4714	---MCZ	200	added ('OK')	text/css	etag:W/%2261da4841-126a%22	http://marqgray.github.io/wp-content/themes/kalium/assets/vendors/nivo-lightbox/nivo-lightbox.min.css?ver=3.4.4.001	C:/My%20Web%20Sites/Portfolio/wp-content/themes/kalium/assets/vendors/nivo-lightbox/nivo-lightbox.minf66a.css	(from http://marqgray.github.io/portfolio/web-music-player-ts/)
17:47:27	2829/2829	---MCZ	200	added ('OK')	text/css	etag:W/%2261da4841-b0d%22	http://marqgray.github.io/wp-content/themes/kalium/assets/vendors/nivo-lightbox/themes/default/default.css?ver=3.4.4.001	C:/My%20Web%20Sites/Portfolio/wp-content/themes/kalium/assets/vendors/nivo-lightbox/themes/default/defaultf66a.css	(from http://marqgray.github.io/portfolio/web-music-player-ts/)
17:47:27	700/700	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2261da4841-2bc%22	http://marqgray.github.io/wp-content/themes/kalium/assets/vendors/jquery-libs/jquery.ba-throttle-debounce.js?ver=3.4.4.001	C:/My%20Web%20Sites/Portfolio/wp-content/themes/kalium/assets/vendors/jquery-libs/jquery.ba-throttle-debouncef66a.js	(from http://marqgray.github.io/portfolio/web-music-player-ts/)
17:47:28	10152/10152	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2261da4841-27a8%22	http://marqgray.github.io/wp-content/themes/kalium/assets/vendors/fluidbox/jquery.fluidbox.min.js?ver=3.4.4.001	C:/My%20Web%20Sites/Portfolio/wp-content/themes/kalium/assets/vendors/fluidbox/jquery.fluidbox.minf66a.js	(from http://marqgray.github.io/portfolio/web-music-player-ts/)
17:47:28	2984/2984	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2260539267-ba8%22	http://marqgray.github.io/wp-includes/js/comment-reply.min.js?ver=5.8.3	C:/My%20Web%20Sites/Portfolio/wp-includes/js/comment-reply.minc8d8.js	(from http://marqgray.github.io/portfolio/web-music-player-ts/)
17:47:28	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Jan%202022%2023:47:28%20GMT	http://marqgray.github.io/?p=3628	C:/My%20Web%20Sites/Portfolio/index3e7c.html	(from http://marqgray.github.io/portfolio/web-music-player-ts/)
17:47:28	7841/7841	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2261da4841-1ea1%22	http://marqgray.github.io/wp-content/themes/kalium/assets/vendors/nivo-lightbox/nivo-lightbox.min.js?ver=3.4.4.001	C:/My%20Web%20Sites/Portfolio/wp-content/themes/kalium/assets/vendors/nivo-lightbox/nivo-lightbox.minf66a.js	(from http://marqgray.github.io/portfolio/web-music-player-ts/)
17:47:28	8121/8121	---M--	200	added ('OK')	image/jpeg	etag:%2261da4ebe-1fb9%22	http://marqgray.github.io/wp-content/uploads/2017/01/portrait4.jpg	C:/My%20Web%20Sites/Portfolio/wp-content/uploads/2017/01/portrait4.jpg	(from http://marqgray.github.io/portfolio/meal-finder-ts/)
17:47:29	760/760	---MC-	200	added ('OK')	application/rss+xml	etag:%22d0e0e07887c3d6f89721e8509bb521b1%22	http://marqgray.github.io/portfolio/meal-finder-ts/feed/	C:/My%20Web%20Sites/Portfolio/portfolio/meal-finder-ts/feed/index.html	(from http://marqgray.github.io/portfolio/meal-finder-ts/)
17:47:29	1887/1887	---MCZ	200	added ('OK')	application/json	date:Thu,%2013%20Jan%202022%2023:47:29%20GMT	http://marqgray.github.io/wp-json/wp/v2/portfolio/3626	C:/My%20Web%20Sites/Portfolio/wp-json/wp/v2/portfolio/3626.json	(from http://marqgray.github.io/portfolio/meal-finder-ts/)
17:47:29	2459/2459	---MCZ	200	added ('OK')	application/json	date:Thu,%2013%20Jan%202022%2023:47:29%20GMT	http://marqgray.github.io/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fmarqgray.github.io%2Fportfolio%2Fmeal-finder-ts%2F	C:/My%20Web%20Sites/Portfolio/wp-json/oembed/1.0/embedcdf5.json	(from http://marqgray.github.io/portfolio/meal-finder-ts/)
17:47:29	2577/2577	---MCZ	200	added ('OK')	text/xml	date:Thu,%2013%20Jan%202022%2023:47:29%20GMT	http://marqgray.github.io/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fmarqgray.github.io%2Fportfolio%2Fmeal-finder-ts%2F&format=xml	C:/My%20Web%20Sites/Portfolio/wp-json/oembed/1.0/embed1335	(from http://marqgray.github.io/portfolio/meal-finder-ts/)
